timestamp,open,high,low,close,volume,turnover
1749362160000,122155,122902.8,121973.3,122902.8,0.562,68859.9302
1749362100000,121000,122155,120553.2,122155,1.862,226388.0856
1749362040000,120779.7,121111.9,120200,121000,0.271,32769.213
1749361980000,117417.3,120779.7,117326.1,120779.7,0.626,74726.2597
1749361920000,120000,120000,115323.3,117417.3,1.211,140923.023
1749361860000,114000,120000,112290,120000,9.331,1098863.7968
1749361800000,126089.1,127324.7,100969,114000,181.762,20396175.4733
1749361740000,131054.1,131400,124882.1,126089.1,92.614,11693681.0703
1749361680000,131941.3,131941.3,127888.4,131054.1,50.981,6622147.54
1749361620000,131400,131941.3,130800,131941.3,0.14,18432.2827
1749361560000,117326.1,131400,114250,131400,59.319,7288481.146
1749361500000,140902.1,141491.9,112792.5,117326.1,157.203,20511030.9076
1749361440000,141491.9,141491.9,140902.1,140902.1,20.23,2856486.9562
1749361380000,141075.6,141491.9,141029.6,141491.9,21.02,2971364.662
1749361320000,140492.5,141075.6,137346.4,141075.6,10.76,1511689.657
1749361260000,139761.2,140492.5,133400,140492.5,17.124,2379577.0654
1749361200000,139064.2,140183.3,137479.5,139761.2,121.302,16966567.1267
1749361140000,138218.7,139064.2,137860.9,139064.2,6.467,893900.0514
1749361080000,137400,138218.7,137200,138218.7,0.398,54743.6103
1749361020000,136367.7,137400,133200,137400,11.545,1576253.7477
1749360960000,135800,136614.2,135288.4,136367.7,22.145,3007360.158
1749360900000,134627.4,135800,133964.7,135800,48.158,6502820.579
1749360840000,133755.2,134627.4,133600,134627.4,12.884,1728441.6683
1749360780000,133176.9,133800,131260.6,133755.2,12.581,1681297.7976
1749360720000,131800,133176.9,129922.1,133176.9,12.575,1665229.8687
1749360660000,131800,131800,131800,131800,0,0
1749360600000,130688.7,131800,129476,131800,0.176,23048.3748
1749360540000,130400,130688.7,130400,130688.7,0.022,2873.7642
1749360480000,129673,130400,129480,130400,0.039,5068.3738
1749360420000,130600,130688.7,129600,129673,0.084,10917.2244
1749360360000,130600,130982,130600,130600,0.006,784.2508
1749360300000,130000,130600,129922.1,130600,0.029,3771.1148
1749360240000,130000,130000,130000,130000,0,0
1749360180000,130640,130640,130000,130000,0.012,1563.6764
1749360120000,130688.7,130800,130640,130640,0.226,29536.1636
1749360060000,130200,130688.7,130200,130688.7,0.015,1959.1207
1749360000000,129600,130200,129600,130200,0.005,650.2976
1749359940000,129600,129600,129600,129600,0,0
1749359880000,130200,130200,129600,129600,0.018,2337.2072
1749359820000,130116,131054.1,129922.1,130200,0.198,25838.8097
1749359760000,130063.9,130116,130063.9,130116,0.002,260.1799
1749359700000,129600,130063.9,129400,130063.9,0.008,1037.6639
1749359640000,129400,129600,129219,129600,0.019,2455.923
1749359580000,130000,130000,129155.5,129400,0.028,3626.977
1749359520000,130923,130923,129105,130000,0.182,23609.7437
1749359460000,131054.1,131054.1,130923,130923,0.002,261.846
1749359400000,131054.1,131054.1,131054.1,131054.1,0.012,1572.6492
1749359340000,131054.1,131054.1,131054.1,131054.1,0,0
1749359280000,130981.4,131054.1,129155.5,131054.1,0.624,81626.7536
1749359220000,129600,130981.4,129600,130981.4,0.122,15900.7523
1749359160000,129600,129600,129600,129600,0,0
1749359100000,129105,129600,129105,129600,0.008,1036
1749359040000,129205,129764.2,129105,129105,0.244,31525.3583
1749358980000,126400,129205,126200,129205,0.188,24094.9074
1749358920000,131054.1,131054.1,126400,126400,0.564,72289.8125
1749358860000,130000,131054.1,130000,131054.1,0.442,57791.263
1749358800000,129922.1,130843.3,129922.1,130000,0.163,21254.923
1749358740000,129922.1,129922.1,129922.1,129922.1,0.005,649.6105
1749358680000,128800,129922.1,128400,129922.1,0.065,8401.2629
1749358620000,129600,129764.2,128479.5,128800,0.049,6329.6328
1749358560000,128200.9,129600,128159.8,129600,0.173,22304.3554
1749358500000,128422.9,128422.9,128200.9,128200.9,0.016,2052.616
1749358440000,128422.9,128422.9,128422.9,128422.9,0.004,513.6916
1749358380000,127400,128422.9,127400,128422.9,0.049,6286.9179
1749358320000,127800,128115,126855.7,127400,0.83,106145.1968
1749358260000,126855.7,127800,126855.7,127800,0.115,14646.0158
1749358200000,126089.1,126855.7,126070.9,126855.7,0.04,5062.2068
1749358140000,126089.1,126089.1,126089.1,126089.1,0,0
1749358080000,125600,127000,125600,126089.1,0.181,22866.663
1749358020000,124555.8,125800,123103.8,125600,0.431,53532.5773
1749357960000,124122.3,125600,124122.3,124555.8,0.184,22964.666
1749357900000,141075.6,141491.9,123103.8,124122.3,19.164,2471431.3749
1749357840000,140331.7,141075.6,140331.7,141075.6,0.812,114081.1571
1749357780000,138400,140331.7,135288.4,140331.7,0.645,88980.818
1749357720000,136770,140000,134521.8,138400,1.086,149164.577
1749357660000,139064.2,140000,136000,136770,0.287,39459.6161
1749357600000,136821.6,139064.2,136800,139064.2,0.28,38645.7464
1749357540000,137479.5,138218.7,136821.6,136821.6,0.146,20066.3753
1749357480000,132600,137506.5,132600,137479.5,7.257,991924.5019
1749357420000,135836.3,136614.2,132600,132600,0.528,71164.247
1749357360000,135000,135836.3,135000,135836.3,0.132,17870.1983
1749357300000,134056.9,135000,133126.8,135000,0.131,17584.3815
1749357240000,134056.9,134056.9,134056.9,134056.9,0,0
1749357180000,130400,134200.2,129600,134056.9,1.609,214524.6368
